ticket_id,created_at,category,priority,queue
TCK-20250101-000001,2025-01-01 12:08:47,Acesso/Conta,P3,ServiceDesk-N1
TCK-20250101-000002,2025-01-01 10:37:27,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250101-000003,2025-01-01 09:45:41,Impressão,P4,ServiceDesk-N1
TCK-20250101-000004,2025-01-01 10:17:51,Rede/Internet,P3,ServiceDesk-N1
TCK-20250101-000005,2025-01-01 10:13:48,Email,P4,ServiceDesk-N1
TCK-20250101-000006,2025-01-01 14:54:22,Software,P3,ServiceDesk-N2
TCK-20250101-000007,2025-01-01 05:24:05,Software,P3,ServiceDesk-N2
TCK-20250101-000008,2025-01-01 11:55:23,Software,P3,ServiceDesk-N1
TCK-20250101-000009,2025-01-01 13:05:54,VPN/Conectividade,P4,ServiceDesk-N1
TCK-20250101-000010,2025-01-01 15:40:53,Email,P4,ServiceDesk-N1
TCK-20250101-000011,2025-01-01 12:41:04,Software,P4,ServiceDesk-N2
TCK-20250101-000012,2025-01-01 20:10:29,Email,P1,ServiceDesk-N2
TCK-20250101-000013,2025-01-01 08:53:49,Impressão,P4,ServiceDesk-N1
TCK-20250101-000014,2025-01-01 11:20:25,VPN/Conectividade,P4,Infra
TCK-20250101-000015,2025-01-01 14:41:31,Email,P2,ServiceDesk-N1
TCK-20250101-000016,2025-01-01 11:16:08,VPN/Conectividade,P3,ServiceDesk-N1
TCK-20250101-000017,2025-01-01 07:25:23,VPN/Conectividade,P1,ServiceDesk-N1
TCK-20250101-000018,2025-01-01 09:05:48,Acesso/Conta,P4,ServiceDesk-N2
TCK-20250101-000019,2025-01-01 13:04:24,Email,P1,ServiceDesk-N1
TCK-20250101-000020,2025-01-01 09:35:55,Rede/Internet,P3,ServiceDesk-N1
TCK-20250101-000021,2025-01-01 16:49:41,Email,P4,ServiceDesk-N1
TCK-20250101-000022,2025-01-01 09:00:46,Rede/Internet,P4,ServiceDesk-N1
TCK-20250101-000023,2025-01-01 15:55:40,VPN/Conectividade,P3,ServiceDesk-N2
TCK-20250101-000024,2025-01-01 18:09:23,Impressão,P4,ServiceDesk-N2
TCK-20250101-000025,2025-01-01 12:20:31,Acesso/Conta,P2,Field
TCK-20250101-000026,2025-01-01 12:53:51,VPN/Conectividade,P4,Field
TCK-20250101-000027,2025-01-01 14:31:52,Acesso/Conta,P3,ServiceDesk-N2
TCK-20250101-000028,2025-01-01 12:08:42,Hardware,P4,ServiceDesk-N1
TCK-20250101-000029,2025-01-01 15:13:59,Hardware,P3,ServiceDesk-N1
